230911 20:25:56:787 [INFO] (PlanarRegionMappingHandler.java:307): [1] Statistics: Extraction Time: 0.030, Merging Time: 0.013, Registration Time: 0.003, Optimization Time: 0.003, Total Time: 0.049, Area: 0.439, Regions: 6, Vertices: 221
230911 20:25:56:882 [INFO] (PlanarRegionMappingHandler.java:307): [2] Statistics: Extraction Time: 0.011, Merging Time: 0.006, Registration Time: 0.009, Optimization Time: 0.001, Total Time: 0.028, Area: 0.464, Regions: 6, Vertices: 239
230911 20:25:56:999 [INFO] (PlanarRegionMappingHandler.java:307): [3] Statistics: Extraction Time: 0.008, Merging Time: 0.008, Registration Time: 0.005, Optimization Time: 0.004, Total Time: 0.025, Area: 0.498, Regions: 6, Vertices: 253
230911 20:25:57:120 [INFO] (PlanarRegionMappingHandler.java:307): [4] Statistics: Extraction Time: 0.013, Merging Time: 0.007, Registration Time: 0.005, Optimization Time: 0.001, Total Time: 0.026, Area: 0.508, Regions: 6, Vertices: 264
230911 20:25:57:242 [INFO] (PlanarRegionMappingHandler.java:307): [5] Statistics: Extraction Time: 0.014, Merging Time: 0.010, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.027, Area: 0.527, Regions: 6, Vertices: 286
230911 20:25:57:366 [INFO] (PlanarRegionMappingHandler.java:307): [6] Statistics: Extraction Time: 0.018, Merging Time: 0.008, Registration Time: 0.004, Optimization Time: 0.001, Total Time: 0.032, Area: 0.528, Regions: 6, Vertices: 304
230911 20:25:57:479 [INFO] (PlanarRegionMappingHandler.java:307): [7] Statistics: Extraction Time: 0.012, Merging Time: 0.008, Registration Time: 0.004, Optimization Time: 0.002, Total Time: 0.025, Area: 0.529, Regions: 6, Vertices: 306
230911 20:25:57:598 [INFO] (PlanarRegionMappingHandler.java:307): [8] Statistics: Extraction Time: 0.013, Merging Time: 0.007, Registration Time: 0.003, Optimization Time: 0.002, Total Time: 0.025, Area: 0.535, Regions: 6, Vertices: 318
230911 20:25:57:713 [INFO] (PlanarRegionMappingHandler.java:307): [9] Statistics: Extraction Time: 0.010, Merging Time: 0.005, Registration Time: 0.003, Optimization Time: 0.002, Total Time: 0.019, Area: 0.560, Regions: 6, Vertices: 306
230911 20:25:57:836 [INFO] (PlanarRegionMappingHandler.java:307): [10] Statistics: Extraction Time: 0.013, Merging Time: 0.005, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.022, Area: 0.579, Regions: 6, Vertices: 318
230911 20:25:57:953 [INFO] (PlanarRegionMappingHandler.java:307): [11] Statistics: Extraction Time: 0.010, Merging Time: 0.004, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.018, Area: 0.591, Regions: 6, Vertices: 319
230911 20:25:58:077 [INFO] (PlanarRegionMappingHandler.java:307): [12] Statistics: Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.023, Area: 0.595, Regions: 6, Vertices: 327
230911 20:25:58:188 [INFO] (PlanarRegionMappingHandler.java:307): [13] Statistics: Extraction Time: 0.007, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.003, Total Time: 0.015, Area: 0.605, Regions: 6, Vertices: 327
230911 20:25:58:316 [INFO] (PlanarRegionMappingHandler.java:307): [14] Statistics: Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.023, Area: 0.609, Regions: 6, Vertices: 323
230911 20:25:58:430 [INFO] (PlanarRegionMappingHandler.java:307): [15] Statistics: Extraction Time: 0.009, Merging Time: 0.003, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.016, Area: 0.611, Regions: 6, Vertices: 327
230911 20:25:58:555 [INFO] (PlanarRegionMappingHandler.java:307): [16] Statistics: Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.002, Optimization Time: 0.002, Total Time: 0.022, Area: 0.611, Regions: 6, Vertices: 322
