regionId: 0, index: 1, origin: 0.0, 0.0, 0.0, normal: 0.0, 0.0, 1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1, index: 1, origin: 0.625, -0.375, -0.030000000000000002, normal: 0.0, 0.0, 1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 2, index: 1, origin: 0.625, -0.375, 0.0, normal: 1.2246467991473532E-16, 0.0, -1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 3, index: 1, origin: 0.725, -0.375, -0.014999999999999994, normal: 1.0, 0.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 4, index: 1, origin: 0.5249999999999999, -0.375, -0.015000000000000006, normal: -1.0, 0.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 5, index: 1, origin: 0.625, -0.475, -0.014999999999999994, normal: 0.0, -1.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 6, index: 1, origin: 0.625, -0.27499999999999997, -0.015000000000000006, normal: 0.0, 1.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 7, index: 1, origin: 0.625, -0.12350487030173629, -0.029962719956395312, normal: 0.0, -0.04983765660879068, 0.9987573318798437, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 8, index: 1, origin: 0.625, -0.125, 0.0, normal: 1.2246467991473532E-16, 0.04983765660879068, -0.9987573318798437, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 9, index: 1, origin: 0.725, -0.12425243515086815, -0.01498135997819765, normal: 1.0, -3.051676332148022E-18, 6.115624848058007E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 10, index: 1, origin: 0.5249999999999999, -0.12425243515086815, -0.014981359978197661, normal: -1.0, 9.155028996444065E-18, -1.834687454417402E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 11, index: 1, origin: 0.625, -0.22412816833885252, -0.01996512563907672, normal: 0.0, -0.9987573318798437, -0.049837656608790616, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 12, index: 1, origin: 0.625, -0.024376701962883773, -0.009997594317318595, normal: 0.0, 0.9987573318798437, 0.04983765660879049, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 13, index: 1, origin: 0.6270123018064651, 0.125, -0.02993243460595375, normal: -0.0670767268821697, -0.0, 0.9977478201984582, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 14, index: 1, origin: 0.625, 0.125, 0.0, normal: 0.06707672688216983, 0.0, -0.9977478201984582, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 15, index: 1, origin: 0.7257809329230783, 0.125, -0.008258544614759899, normal: 0.9977478201984582, 0.0, 0.06707672688216976, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 16, index: 1, origin: 0.5262313688833866, 0.125, -0.02167388999119385, normal: -0.9977478201984582, 0.0, -0.06707672688216988, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 17, index: 1, origin: 0.6260061509032325, 0.024999999999999994, -0.014966217302976868, normal: -4.1072649436765176E-18, -1.0, 6.109443371811454E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 18, index: 1, origin: 0.6260061509032325, 0.225, -0.01496621730297688, normal: 1.2321794831029553E-17, 1.0, -1.832833011543436E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 19, index: 1, origin: 0.6267490805233134, 0.375, -0.029948968551904525, normal: -0.05830268411044449, -0.0, 0.9982989517301507, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 20, index: 1, origin: 0.625, 0.375, 0.0, normal: 0.05830268411044461, 0.0, -0.9982989517301507, concave hull size: 4, number of convex polygons: 1, [4]
